time,entry_label,hold_label,exit_label,future_best_net_roi,ambiguous
2025-06-23 02:00:00+00:00,1,0,0,0.13841464466432907,0
2025-06-23 03:00:00+00:00,1,0,0,0.13841464466432907,0
2025-06-23 04:00:00+00:00,1,1,1,0.13841464466432907,0
2025-06-23 05:00:00+00:00,1,1,1,0.13841464466432907,0
2025-06-23 06:00:00+00:00,2,0,1,0.13841464466432907,0
2025-06-23 07:00:00+00:00,2,2,1,0.13841464466432907,0
2025-06-23 08:00:00+00:00,2,2,0,0.10973025773221501,0
2025-06-23 09:00:00+00:00,1,2,2,0.19291173696400588,0
2025-06-23 10:00:00+00:00,1,2,2,0.19291173696400588,0
2025-06-23 11:00:00+00:00,1,0,2,0.3145151183044242,0
2025-06-23 12:00:00+00:00,1,1,2,0.3145151183044242,0
2025-06-23 13:00:00+00:00,1,0,1,0.3145151183044242,0
2025-06-23 14:00:00+00:00,2,2,1,0.9463927768377127,0
2025-06-23 15:00:00+00:00,2,2,2,0.9463927768377127,0
2025-06-23 16:00:00+00:00,1,0,2,0.9463927768377127,0
2025-06-23 17:00:00+00:00,1,1,2,0.9463927768377127,0
2025-06-23 18:00:00+00:00,1,1,0,0.9463927768377127,0
2025-06-23 19:00:00+00:00,0,1,0,0.9463927768377127,0
2025-06-23 20:00:00+00:00,2,1,1,0.9463927768377127,0
2025-06-23 21:00:00+00:00,2,1,1,0.9463927768377127,0
2025-06-23 22:00:00+00:00,2,0,1,0.9463927768377127,0
2025-06-23 23:00:00+00:00,2,2,1,0.9463927768377127,0
2025-06-24 00:00:00+00:00,2,0,2,0.15303818589999008,0
2025-06-24 01:00:00+00:00,1,0,2,0.15303818589999008,0
2025-06-24 02:00:00+00:00,1,0,1,0.15303818589999008,0
2025-06-24 03:00:00+00:00,2,1,2,0.15303818589999008,0
2025-06-24 04:00:00+00:00,1,1,1,0.15303818589999008,0
2025-06-24 05:00:00+00:00,2,1,1,0.15303818589999008,0
2025-06-24 06:00:00+00:00,2,0,1,0.15303818589999008,0
2025-06-24 07:00:00+00:00,2,0,1,0.15303818589999008,0
2025-06-24 08:00:00+00:00,2,1,2,0.12036909653566674,0
2025-06-24 09:00:00+00:00,1,1,1,0.047494000484309865,0
2025-06-24 10:00:00+00:00,0,0,1,0.047494000484309865,0
2025-06-24 11:00:00+00:00,1,0,1,0.06502446919927786,0
2025-06-24 12:00:00+00:00,1,0,1,0.06502446919927786,0
2025-06-24 13:00:00+00:00,1,0,1,0.16952180741631118,0
2025-06-24 14:00:00+00:00,1,0,1,0.16952180741631118,0
2025-06-24 15:00:00+00:00,1,0,1,0.16952180741631118,0
2025-06-24 16:00:00+00:00,2,0,2,0.16952180741631118,0
2025-06-24 17:00:00+00:00,1,2,1,0.16952180741631118,0
2025-06-24 18:00:00+00:00,2,0,2,0.11463281729988939,0
2025-06-24 19:00:00+00:00,1,1,2,0.11463281729988939,0
2025-06-24 20:00:00+00:00,1,0,1,0.08806632331859454,0
2025-06-24 21:00:00+00:00,1,0,1,0.08806632331859454,0
2025-06-24 22:00:00+00:00,1,1,0,0.07640011856819219,0
2025-06-24 23:00:00+00:00,1,1,0,0.07640011856819219,0
2025-06-25 00:00:00+00:00,2,1,1,0.07640011856819219,0
2025-06-25 01:00:00+00:00,2,1,1,0.07640011856819219,0
2025-06-25 02:00:00+00:00,2,0,1,0.3102520397818713,0
2025-06-25 03:00:00+00:00,2,2,1,0.3102520397818713,0
2025-06-25 04:00:00+00:00,2,0,2,0.3102520397818713,0
2025-06-25 05:00:00+00:00,1,1,2,0.3102520397818713,0
2025-06-25 06:00:00+00:00,1,1,0,0.3102520397818713,0
2025-06-25 07:00:00+00:00,0,1,0,0.3102520397818713,0
2025-06-25 08:00:00+00:00,0,1,0,0.3102520397818713,0
2025-06-25 09:00:00+00:00,0,1,0,0.3102520397818713,0
2025-06-25 10:00:00+00:00,0,1,0,0.3102520397818713,0
2025-06-25 11:00:00+00:00,2,1,1,0.3102520397818713,0
2025-06-25 12:00:00+00:00,2,1,1,0.3102520397818713,0
2025-06-25 13:00:00+00:00,2,0,1,0.3102520397818713,0
2025-06-25 14:00:00+00:00,2,2,1,0.3102520397818713,0
2025-06-25 15:00:00+00:00,2,0,2,0.1499335256387484,0
2025-06-25 16:00:00+00:00,1,1,2,0.1499335256387484,0
