time,trend_leg_type,sub_phase,leg_progress,is_leg_confirmed,bars_since_leg_start,leg_id,teacher_confidence
2025-06-23 02:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 03:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 04:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 05:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 06:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 07:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 08:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 09:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 10:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 11:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 12:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 13:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 14:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 15:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 16:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 17:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 18:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 19:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 20:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 21:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 22:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-23 23:00:00+00:00,TRANSITION_LEG,BASE,0.0,0,0,-1,0.5
2025-06-24 00:00:00+00:00,TRANSITION_LEG,IMPULSE,0.0,0,1,1,0.4
2025-06-24 01:00:00+00:00,TRANSITION_LEG,IMPULSE,0.0,0,2,1,0.4
2025-06-24 02:00:00+00:00,TRANSITION_LEG,IMPULSE,0.0,0,3,1,0.4
2025-06-24 03:00:00+00:00,TRANSITION_LEG,IMPULSE,0.0,0,4,1,0.4
2025-06-24 04:00:00+00:00,TRANSITION_LEG,IMPULSE,0.0,0,5,1,0.4
2025-06-24 05:00:00+00:00,TRANSITION_LEG,IMPULSE,0.0,0,6,1,0.4
2025-06-24 06:00:00+00:00,TRANSITION_LEG,IMPULSE,0.0,0,1,2,0.4
2025-06-24 07:00:00+00:00,TRANSITION_LEG,IMPULSE,0.2857142857142857,0,2,2,0.4
2025-06-24 08:00:00+00:00,TRANSITION_LEG,IMPULSE,0.42857142857142855,0,3,2,0.4
2025-06-24 09:00:00+00:00,TRANSITION_LEG,PULLBACK,0.5714285714285714,0,4,2,0.4
2025-06-24 10:00:00+00:00,TRANSITION_LEG,IMPULSE,0.7142857142857143,0,5,2,0.4
2025-06-24 11:00:00+00:00,TRANSITION_LEG,IMPULSE,0.8571428571428571,0,6,2,0.4
2025-06-24 12:00:00+00:00,TRANSITION_LEG,IMPULSE,1.0,0,7,2,0.4
2025-06-24 13:00:00+00:00,TRANSITION_LEG,IMPULSE,1.0,0,8,2,0.5
2025-06-24 14:00:00+00:00,RANGE_LEG,IMPULSE,0.0,0,9,2,0.5
2025-06-24 15:00:00+00:00,RANGE_LEG,IMPULSE,0.0,0,10,2,0.5
2025-06-24 16:00:00+00:00,TRANSITION_LEG,PULLBACK,0.09090909090909091,0,1,3,0.4
2025-06-24 17:00:00+00:00,TRANSITION_LEG,IMPULSE,0.2857142857142857,0,2,3,0.4
2025-06-24 18:00:00+00:00,TRANSITION_LEG,IMPULSE,0.42857142857142855,0,3,3,0.4
2025-06-24 19:00:00+00:00,TRANSITION_LEG,IMPULSE,0.5714285714285714,0,4,3,0.4
2025-06-24 20:00:00+00:00,TRANSITION_LEG,IMPULSE,0.45454545454545453,0,5,3,0.4
